Subject;Start Date;Start Time;End Date;End Time;All Day;Description;Location;UID
Nýársdagur 🇮🇸;1/1/2026;;;;TRUE;;;B5908348-6277-46EC-9A2C-2BA4B010DEFF
Þrettándinn ;1/6/2026;;;;TRUE;;;4BBA8D7A-565F-4225-B720-24531C2E0A0D
Bóndadagur, upphaf Þorra ;1/23/2026;;;;TRUE;;;369C5B51-BB1C-4E36-AD7E-1AA5B057B057
Valentínusardagurinn ;2/14/2026;;;;TRUE;;;2C4BC284-FD9F-480D-82A4-8B343669FE35
Bolludagur ;2/16/2026;;;;TRUE;;;FF2C9C53-7097-4C79-8F7E-58BDD7DF70E8
Sprengidagur ;2/17/2026;;;;TRUE;;;6EFCA88A-2746-4057-8669-FD27FC1017C4
Öskudagur ;2/18/2026;;;;TRUE;;;C316DB03-F8D1-4DBF-AF37-09FF1E3C0913
Konudagur, upphaf Góu ;2/22/2026;;;;TRUE;;;D1791CDA-31E6-4B3D-979E-BB76ACBE125D
Kváradagur ;3/24/2026;;;;TRUE;;;95AC95ED-56A0-453F-86B8-419CA078069F
Pálmasunnudagur ;3/29/2026;;;;TRUE;;;AFA12893-D31F-4ABB-B21B-B61D195C94FA
Skírdagur ;4/2/2026;;;;TRUE;;;C3516FAA-9643-4B56-9F3E-79292825D310
Föstudagurinn langi 🇮🇸;4/3/2026;;;;TRUE;;;95D70F9E-B33A-4E0D-9864-AE51BECE2E34
Páskadagur 🇮🇸;4/5/2026;;;;TRUE;;;E5372B6B-E767-4E9B-8959-AFDF020EA1FB
Annar í páskum ;4/6/2026;;;;TRUE;;;8EE7FE00-4858-40D4-B281-F4B82EEFEE58
Sumardagurinn fyrsti 🇮🇸;4/23/2026;;;;TRUE;;;F6B91259-E64A-4340-BF39-91DD65393240
Baráttudagur verkalýðsins 🇮🇸;5/1/2026;;;;TRUE;;;E52880C7-4875-481D-A3BC-B423DE4DC0EF
Mæðradagurinn ;5/10/2026;;;;TRUE;;;275F33DA-4ADC-4613-A738-4D71C696F322
Uppstigningardagur ;5/14/2026;;;;TRUE;;;9ED58D35-105C-448D-B6F2-1B3F1F948010
Hvítasunnudagur 🇮🇸;5/24/2026;;;;TRUE;;;F560FA19-6267-43E8-9E4F-924402BC53EC
Annar í Hvítasunnu ;5/25/2026;;;;TRUE;;;E386FE6A-49BC-4F71-9A80-72B4BD34E0C6
Sjómannadagurinn 🇮🇸;6/7/2026;;;;TRUE;;;D863274B-B78B-4192-9F53-D9519BA78AB6
Þjóðhátíðardagur Íslendinga 🇮🇸;6/17/2026;;;;TRUE;;;A7FD8037-4D4E-4BAB-B968-2B37B8F9EF99
Frídagur verzlunarmanna ;8/3/2026;;;;TRUE;;;B2759DD8-2E94-458D-8F7C-FBE80B38CBF8
Reykjavík Pride/Gleðigangan ;8/8/2026;;;;TRUE;;;445DFA64-FD31-4885-8AB7-0942D7432445
Menningarnótt í Reykjavík ;8/22/2026;;;;TRUE;;;BC7291DC-7938-4051-8A4C-56DC52B51F70
Fæðingardagur forseta (HT) 🇮🇸;10/11/2026;;;;TRUE;;;2CBC8FF4-4E06-4C43-B2AF-211982171F3D
Fyrsti vetrardagur ;10/24/2026;;;;TRUE;;;29F8FD27-4DCD-4F1C-AB1C-01683CD25259
Hrekkjavaka ;10/31/2026;;;;TRUE;;;544EB573-BF33-42CE-A365-1FC3C4BB65B5
Feðradagurinn ;11/8/2026;;;;TRUE;;;4DD7AC28-F5A2-4E87-95B0-58465949D4FF
Dagur íslenzkrar tungu 🇮🇸;11/16/2026;;;;TRUE;;;EF437918-EE40-400D-9D25-0BA78D66F28E
Fullveldisdagurinn 🇮🇸;12/1/2026;;;;TRUE;;;A79FF0C5-3E49-4984-B05C-76C741C8C396
Aðfangadagur jóla ;12/24/2026;;;;TRUE;;;20D179BD-B03D-4F1B-988D-6D3611D5F5B6
Jóladagur 🇮🇸;12/25/2026;;;;TRUE;;;3FAECAF6-B880-4376-BC8C-111F3CB3D980
Annar í jólum ;12/26/2026;;;;TRUE;;;A4B26225-E3D0-4AFC-A689-24C5A71AFF16
Gamlársdagur ;12/31/2026;;;;TRUE;;;0B733065-5803-4AA6-9AB7-92491435E801
